,ppi,dtype,auc,file
0,corum,prot,0.800885364097643,e0022_maxlfq_pronorm_protein_matrix_300921.txt
1,corum,gexp,0.7177551793955936,e0022_maxlfq_pronorm_protein_matrix_300921.txt
2,corum,crispr,0.6306066877481664,e0022_maxlfq_pronorm_protein_matrix_300921.txt
3,corum,merged,0.8167687313793832,e0022_maxlfq_pronorm_protein_matrix_300921.txt
4,biogrid,prot,0.6676762194711007,e0022_maxlfq_pronorm_protein_matrix_300921.txt
5,biogrid,gexp,0.5673589471546754,e0022_maxlfq_pronorm_protein_matrix_300921.txt
6,biogrid,crispr,0.521632203900181,e0022_maxlfq_pronorm_protein_matrix_300921.txt
7,biogrid,merged,0.6484853282197259,e0022_maxlfq_pronorm_protein_matrix_300921.txt
8,string,prot,0.7054238327868871,e0022_maxlfq_pronorm_protein_matrix_300921.txt
9,string,gexp,0.6475782270538732,e0022_maxlfq_pronorm_protein_matrix_300921.txt
10,string,crispr,0.5702072570668323,e0022_maxlfq_pronorm_protein_matrix_300921.txt
11,string,merged,0.7247785236121551,e0022_maxlfq_pronorm_protein_matrix_300921.txt
12,huri,prot,0.5496438429554531,e0022_maxlfq_pronorm_protein_matrix_300921.txt
13,huri,gexp,0.5254494912186988,e0022_maxlfq_pronorm_protein_matrix_300921.txt
14,huri,crispr,0.5114066108657914,e0022_maxlfq_pronorm_protein_matrix_300921.txt
15,huri,merged,0.5472656877746886,e0022_maxlfq_pronorm_protein_matrix_300921.txt
