,ppi,dtype,auc,file
0,corum,prot,0.7983908345150491,original
1,corum,gexp,0.7235237019326687,original
2,corum,crispr,0.6321988062484608,original
3,corum,merged,0.818054184906849,original
4,biogrid,prot,0.6613061374886999,original
5,biogrid,gexp,0.5730925099166756,original
6,biogrid,crispr,0.5247055661124589,original
7,biogrid,merged,0.6456513715219943,original
8,string,prot,0.7013549289791869,original
9,string,gexp,0.6616532811651528,original
10,string,crispr,0.5792347997605425,original
11,string,merged,0.7294229747663755,original
12,huri,prot,0.5476409363524283,original
13,huri,gexp,0.5281600665664108,original
14,huri,crispr,0.5149202247033561,original
15,huri,merged,0.5417514674243527,original
