Cell_line	Cancer_type	Tissue_type	SIDM	growth_properties	MSI_status	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type_detail	sample_site	gender	ethnicity	smoking_status	BROAD_ID	COSMIC_ID	CCLE_ID
BC-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00896	Suspension	MSS	True	True	True	False	True	True	Primary Effusion Lymphoma	Peritoneal Cavity	Male	Unknown	Unknown	ACH-002214	910919	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
L-363	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM00312	Suspension	MSS	True	True	True	True	True	True	Plasma Cell Myeloma	Peripheral blood	Female	Unknown	Unknown	ACH-000183	924239	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
EoL-1-cell	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00277	Suspension	MSS	True	True	True	False	True	True	Chronic Eosinophilic Leukemia	Unknown	Male	East Asian	Unknown	ACH-000198	906856	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCI-H727	Other Solid Carcinomas	Lung	SIDM01119	Adherent	MSS	True	True	True	False	True	True	Lung Carcinoid Tumor	Bronchus	Female	White	Unknown	ACH-000775	724855	NCIH727_LUNG
MV-4-11	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00657	Suspension	MSS	True	True	True	False	False	True	Childhood Acute Differentiated Monocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000045	908156	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HSC-39	Gastric Carcinoma	Stomach	SIDM00045	Unknown	MSS	True	True	True	True	True	True	Signet Ring Cell Gastric Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002141	1322224	HSC39_STOMACH
RPMI-8402	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00403	Suspension	MSS	True	True	True	False	True	True	Childhood T Acute Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-000636	909702	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MDA-MB-453	Breast Carcinoma	Breast	SIDM00272	Adherent	MSS	True	True	True	True	True	True	Breast Adenocarcinoma	Pericardial Effusion	Female	White	Unknown	ACH-000910	908122	MDAMB453_BREAST
ES8	Ewing's Sarcoma	Bone	SIDM00261	Unknown	MSS	True	True	True	True	True	True	Ewing's Sarcoma	Unknown	Male	Unknown	Unknown	ACH-002109	949155	ES8_BONE
NKM-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00576	Unknown	MSS	True	True	True	False	True	True	Adult Acute Myeloid Leukemia	Peripheral blood	Unknown	Unknown	Unknown	ACH-002290	908448	NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KURAMOCHI	Ovarian Carcinoma	Ovary	SIDM00554	Unknown	MSS	True	True	True	True	True	True	High Grade Ovarian Serous Adenocarcinoma	Ascites	Female	East Asian	Unknown	ACH-000524	909975	KURAMOCHI_OVARY
UACC-62	Melanoma	Skin	SIDM00107	Unknown	MSS	True	True	True	False	True	True	Melanoma	Unknown	Unknown	Unknown	Unknown	ACH-000425	905976	UACC62_SKIN
Ca9-22	Head and Neck Carcinoma	Head and Neck	SIDM00489	Adherent	MSS	True	True	True	True	True	True	Gingival Squamous Cell Carcinoma	Oral, gingiva	Male	East Asian	Unknown	ACH-002043	753538	CA922_UPPER_AERODIGESTIVE_TRACT
COLO-684	Endometrial Carcinoma	Endometrium	SIDM00142	Suspension	MSI	True	True	True	True	True	True	Endometrial Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000864	910691	COLO684_ENDOMETRIUM
SW13	Other Solid Carcinomas	Adrenal Gland	SIDM00814	Adherent	MSS	True	True	True	False	True	True	Adrenal Cortex Carcinoma	Adrenal Cortex	Female	White	Unknown	ACH-001401	909744	SW13_ADRENAL_CORTEX
SF539	Glioblastoma	Central Nervous System	SIDM00083	Unknown	MSS	True	True	True	True	False	True	Gliosarcoma	Unknown	Female	Unknown	Unknown	ACH-000273	905984	SF539_CENTRAL_NERVOUS_SYSTEM
MDA-MB-175-VII	Breast Carcinoma	Breast	SIDM00633	Semi-Adherent	MSS	False	True	True	False	True	True	Invasive Ductal Carcinoma not Otherwise Specified	Pleural effusion	Female	Black	Unknown	ACH-000759	908120	MDAMB175VII_BREAST
NCI-H524	Small Cell Lung Carcinoma	Lung	SIDM01129	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Lymph node 	Male	White	Unknown	ACH-000816	908483	NCIH524_LUNG
BxPC-3	Pancreatic Carcinoma	Pancreas	SIDM00132	Adherent	MSS	True	True	True	True	True	True	Pancreatic Ductal Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000535	906693	BXPC3_PANCREAS
NCI-H847	Small Cell Lung Carcinoma	Lung	SIDM01149	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Pleural effusion	Male	White	Unknown	ACH-001365	1240193	NCIH847_LUNG
ST486	Burkitt's Lymphoma	Haematopoietic and Lymphoid	SIDM01198	Suspension	MSS	True	True	True	False	True	True	Burkitt's Lymphoma	Ascites	Female	Unknown	Unknown	ACH-000567	910906	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
Hs-766T	Pancreatic Carcinoma	Pancreas	SIDM00664	Adherent	MSS	True	True	True	False	True	True	Pancreatic Adenocarcinoma	Lymph node	Male	White	Unknown	ACH-000178	1298141	HS766T_PANCREAS
MSTO-211H	Mesothelioma	Lung	SIDM00640	Adherent	MSS	True	True	True	False	True	True	Pleural Biphasic Mesothelioma	Pleural effusion	Male	White	Unknown	ACH-000335	908152	MSTO211H_PLEURA
