Automatic_MS_filename	Batch	Code	Daisy_chain	Date	Instrument	Replicate	Cell_line	Cancer_type	Tissue_type	SIDM	growth_properties	MSI_status	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type_detail	sample_site	gender	ethnicity	smoking_status	BROAD_ID	COSMIC_ID	CCLE_ID
180822_e0022_p02_hek_h002_qc_s_m04_1	P02	HEK H002	No	2018-08-22	M04	1	Control_HEK293T_std_H002	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T
180822_e0022_p02_8078_1_s_m04_1	P02	8078	No	2018-08-22	M04	1	BC-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00896	Suspension	MSS	True	True	True	False	True	True	Primary Effusion Lymphoma	Peritoneal Cavity	Male	Unknown	Unknown	ACH-002214	910919	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8078_2_s_m04_1	P02	8078	No	2018-08-22	M04	2	BC-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00896	Suspension	MSS	True	True	True	False	True	True	Primary Effusion Lymphoma	Peritoneal Cavity	Male	Unknown	Unknown	ACH-002214	910919	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8078_3_s_m04_1	P02	8078	No	2018-08-22	M04	3	BC-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00896	Suspension	MSS	True	True	True	False	True	True	Primary Effusion Lymphoma	Peritoneal Cavity	Male	Unknown	Unknown	ACH-002214	910919	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_3090_1_s_m04_1	P02	3090	No	2018-08-22	M04	1	L-363	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM00312	Suspension	MSS	True	True	True	True	True	True	Plasma Cell Myeloma	Peripheral blood	Female	Unknown	Unknown	ACH-000183	924239	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_3090_2_s_m04_1	P02	3090	No	2018-08-22	M04	2	L-363	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM00312	Suspension	MSS	True	True	True	True	True	True	Plasma Cell Myeloma	Peripheral blood	Female	Unknown	Unknown	ACH-000183	924239	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_3090_3_s_m04_1	P02	3090	No	2018-08-22	M04	3	L-363	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM00312	Suspension	MSS	True	True	True	True	True	True	Plasma Cell Myeloma	Peripheral blood	Female	Unknown	Unknown	ACH-000183	924239	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8329_1_s_m04_1	P02	8329	No	2018-08-22	M04	1	EoL-1-cell	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00277	Suspension	MSS	True	True	True	False	True	True	Chronic Eosinophilic Leukemia	Unknown	Male	East Asian	Unknown	ACH-000198	906856	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8329_2_s_m04_1	P02	8329	No	2018-08-22	M04	2	EoL-1-cell	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00277	Suspension	MSS	True	True	True	False	True	True	Chronic Eosinophilic Leukemia	Unknown	Male	East Asian	Unknown	ACH-000198	906856	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8329_3_s_m04_1	P02	8329	No	2018-08-22	M04	3	EoL-1-cell	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00277	Suspension	MSS	True	True	True	False	True	True	Chronic Eosinophilic Leukemia	Unknown	Male	East Asian	Unknown	ACH-000198	906856	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_7431_1_s_m04_1	P02	7431	No	2018-08-22	M04	1	NCI-H727	Other Solid Carcinomas	Lung	SIDM01119	Adherent	MSS	True	True	True	False	True	True	Lung Carcinoid Tumor	Bronchus	Female	White	Unknown	ACH-000775	724855	NCIH727_LUNG
180822_e0022_p02_7431_2_s_m04_1	P02	7431	No	2018-08-22	M04	2	NCI-H727	Other Solid Carcinomas	Lung	SIDM01119	Adherent	MSS	True	True	True	False	True	True	Lung Carcinoid Tumor	Bronchus	Female	White	Unknown	ACH-000775	724855	NCIH727_LUNG
180822_e0022_p02_7431_3_s_m04_1	P02	7431	No	2018-08-22	M04	3	NCI-H727	Other Solid Carcinomas	Lung	SIDM01119	Adherent	MSS	True	True	True	False	True	True	Lung Carcinoid Tumor	Bronchus	Female	White	Unknown	ACH-000775	724855	NCIH727_LUNG
180822_e0022_p02_7741_1_s_m04_1	P02	7741	No	2018-08-22	M04	1	MV-4-11	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00657	Suspension	MSS	True	True	True	False	False	True	Childhood Acute Differentiated Monocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000045	908156	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_7741_2_s_m04_1	P02	7741	No	2018-08-22	M04	2	MV-4-11	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00657	Suspension	MSS	True	True	True	False	False	True	Childhood Acute Differentiated Monocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000045	908156	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_7741_3_s_m04_1	P02	7741	No	2018-08-22	M04	3	MV-4-11	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00657	Suspension	MSS	True	True	True	False	False	True	Childhood Acute Differentiated Monocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000045	908156	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_hek_122_s_m04_1	P02	HEK	No	2018-08-22	M04	1	Control_HEK293T_lys	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T
180822_e0022_p02_hek_h002_qc_s_m04_2	P02	HEK H002	No	2018-08-22	M04	1	Control_HEK293T_std_H002	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T
180822_e0022_p02_2921_1_s_m04_1	P02	2921	No	2018-08-22	M04	1	HSC-39	Gastric Carcinoma	Stomach	SIDM00045	Unknown	MSS	True	True	True	True	True	True	Signet Ring Cell Gastric Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002141	1322224	HSC39_STOMACH
180822_e0022_p02_2049_2_s_m04_1	P02	2049	No	2018-08-22	M04	2	RPMI-8402	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00403	Suspension	MSS	True	True	True	False	True	True	Childhood T Acute Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-000636	909702	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_6456_3_s_m04_1	P02	6456	No	2018-08-22	M04	3	MDA-MB-453	Breast Carcinoma	Breast	SIDM00272	Adherent	MSS	True	True	True	True	True	True	Breast Adenocarcinoma	Pericardial Effusion	Female	White	Unknown	ACH-000910	908122	MDAMB453_BREAST
180822_e0022_p02_6390_1_s_m04_1	P02	6390	No	2018-08-22	M04	1	ES8	Ewing's Sarcoma	Bone	SIDM00261	Unknown	MSS	True	True	True	True	True	True	Ewing's Sarcoma	Unknown	Male	Unknown	Unknown	ACH-002109	949155	ES8_BONE
180822_e0022_p02_6456_1_s_m04_1	P02	6456	No	2018-08-22	M04	1	MDA-MB-453	Breast Carcinoma	Breast	SIDM00272	Adherent	MSS	True	True	True	True	True	True	Breast Adenocarcinoma	Pericardial Effusion	Female	White	Unknown	ACH-000910	908122	MDAMB453_BREAST
180822_e0022_p02_2921_3_s_m04_1	P02	2921	No	2018-08-22	M04	3	HSC-39	Gastric Carcinoma	Stomach	SIDM00045	Unknown	MSS	True	True	True	True	True	True	Signet Ring Cell Gastric Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002141	1322224	HSC39_STOMACH
180822_e0022_p02_2495_2_s_m04_1	P02	2495	No	2018-08-22	M04	2	NKM-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00576	Unknown	MSS	True	True	True	False	True	True	Adult Acute Myeloid Leukemia	Peripheral blood	Unknown	Unknown	Unknown	ACH-002290	908448	NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_2049_3_s_m04_1	P02	2049	No	2018-08-22	M04	3	RPMI-8402	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00403	Suspension	MSS	True	True	True	False	True	True	Childhood T Acute Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-000636	909702	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_6456_2_s_m04_1	P02	6456	No	2018-08-22	M04	2	MDA-MB-453	Breast Carcinoma	Breast	SIDM00272	Adherent	MSS	True	True	True	True	True	True	Breast Adenocarcinoma	Pericardial Effusion	Female	White	Unknown	ACH-000910	908122	MDAMB453_BREAST
180822_e0022_p02_hek_123_s_m04_1	P02	HEK	No	2018-08-22	M04	1	Control_HEK293T_lys	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T
180822_e0022_p02_2495_3_s_m04_1	P02	2495	No	2018-08-22	M04	3	NKM-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00576	Unknown	MSS	True	True	True	False	True	True	Adult Acute Myeloid Leukemia	Peripheral blood	Unknown	Unknown	Unknown	ACH-002290	908448	NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_6390_3_s_m04_1	P02	6390	No	2018-08-22	M04	3	ES8	Ewing's Sarcoma	Bone	SIDM00261	Unknown	MSS	True	True	True	True	True	True	Ewing's Sarcoma	Unknown	Male	Unknown	Unknown	ACH-002109	949155	ES8_BONE
180822_e0022_p02_6390_2_s_m04_1	P02	6390	No	2018-08-22	M04	2	ES8	Ewing's Sarcoma	Bone	SIDM00261	Unknown	MSS	True	True	True	True	True	True	Ewing's Sarcoma	Unknown	Male	Unknown	Unknown	ACH-002109	949155	ES8_BONE
180822_e0022_p02_2049_1_s_m04_1	P02	2049	No	2018-08-22	M04	1	RPMI-8402	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00403	Suspension	MSS	True	True	True	False	True	True	Childhood T Acute Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-000636	909702	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_2495_1_s_m04_1	P02	2495	No	2018-08-22	M04	1	NKM-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00576	Unknown	MSS	True	True	True	False	True	True	Adult Acute Myeloid Leukemia	Peripheral blood	Unknown	Unknown	Unknown	ACH-002290	908448	NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_2921_2_s_m04_1	P02	2921	No	2018-08-22	M04	2	HSC-39	Gastric Carcinoma	Stomach	SIDM00045	Unknown	MSS	True	True	True	True	True	True	Signet Ring Cell Gastric Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002141	1322224	HSC39_STOMACH
180822_e0022_p02_hek_h002_qc_s_m04_3	P02	HEK H002	No	2018-08-22	M04	1	Control_HEK293T_std_H002	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T	Control_HEK293T
