Cell_line	Rep
201T	3
22RV1	3
23132-87	3
42-MG-BA	3
451Lu	3
5637	3
639-V	3
647-V	3
697	3
769-P	3
786-0	3
8-MG-BA	3
8305C	3
8505C	3
A172	3
A204	3
A2058	3
A253	3
A2780	3
A3-KAW	3
A375	3
A388	3
A4-Fuk	3
A427	3
A431	2
A498	3
A549	3
A673	3
A704	3
ABC-1	3
ACHN	3
AGS	3
ALL-PO	3
ALL-SIL	3
AM-38	3
AMO-1	3
AN3-CA	3
ARH-77	3
ASH-3	3
ATN-1	3
AU565	3
AsPC-1	3
B-CPAP	3
BALL-1	3
BB30-HNC	3
BB65-RCC	3
BC-1	3
BC-3	3
BE-13	3
BE2-M17	3
BEN	3
BFTC-905	3
BFTC-909	3
BHT-101	3
BHY	3
BICR22	2
BICR31	3
BICR78	3
BL-41	3
BONNA-12	3
BPH-1	3
BT-20	3
BT-474	3
BT-483	3
BT-549	3
BV-173	3
Becker	3
BxPC-3	3
C-33-A	3
C-4-I	3
C2BBe1	3
C32	3
C3A	3
CA46	3
CADO-ES1	3
CAKI-1	3
CAL-120	3
CAL-12T	3
CAL-148	3
CAL-27	3
CAL-29	3
CAL-33	3
CAL-39	3
CAL-51	3
CAL-54	3
CAL-62	3
CAL-72	3
CAL-78	3
CAL-85-1	3
CAMA-1	3
CAPAN-1	3
CAPAN-2	3
CAS-1	3
CCF-STTG1	3
CCK-81	3
CCRF-CEM	3
CESS	3
CFPAC-1	3
CGTH-W-1	3
CHL-1	3
CHP-126	3
CHP-212	3
CHSA0011	3
CHSA0108	3
CHSA8926	2
CL-11	3
CL-40	3
CML-T1	3
COLO-205	3
COLO-320-HSR	3
COLO-668	3
COLO-678	3
COLO-679	3
COLO-680N	3
COLO-684	3
COLO-783	3
COLO-792	3
COLO-800	3
COLO-824	3
COLO-829	3
COR-L105	3
COR-L23	3
COR-L279	3
COR-L303	3
COR-L311	3
COR-L32	3
COR-L321	3
COR-L88	3
COR-L95	3
CP50-MEL-B	3
CP66-MEL	3
CPC-N	3
CRO-AP2	3
CS1	3
CTB-1	3
CTV-1	3
CW-2	3
Ca-Ski	3
Ca9-22	3
CaR-1	3
Calu-3	3
Calu-6	3
Caov-3	3
Caov-4	3
ChaGo-K-1	3
D-245MG	3
D-247MG	3
D-263MG	3
D-283MED	3
D-336MG	3
D-392MG	3
D-423MG	3
D-502MG	3
D-542MG	3
D-566MG	3
DAN-G	3
DB	3
DBTRG-05MG	3
DEL	3
DG-75	3
DJM-1	3
DK-MG	3
DMS-114	3
DMS-273	3
DMS-53	3
DMS-79	3
DND-41	3
DOHH-2	3
DOK	3
DOV13	3
DSH1	3
DU-145	3
DU-4475	3
Daoy	3
Daudi	3
Detroit562	3
DiFi	3
DoTc2-4510	3
EB-3	3
EB2	3
EBC-1	3
EC-GI-10	3
ECC10	3
ECC12	3
EFM-19	3
EFM-192A	3
EFO-21	3
EFO-27	3
EGI-1	3
EJM	3
EKVX	3
EM-2	3
EMC-BAC-1	3
EMC-BAC-2	3
EN	3
EPLC-272H	3
ES-2	3
ES1	3
ES3	3
ES4	3
ES5	3
ES6	2
ES7	3
ES8	3
ESO26	3
ESO51	3
ESS-1	3
ETK-1	3
