Cell_line	Replicate	Rep
201T	1	2
201T	2	2
201T	3	2
22RV1	1	2
22RV1	2	2
22RV1	3	2
23132-87	1	2
23132-87	2	2
23132-87	3	2
42-MG-BA	1	2
42-MG-BA	2	2
42-MG-BA	3	2
451Lu	1	2
451Lu	2	2
451Lu	3	2
5637	1	2
5637	2	2
5637	3	2
639-V	1	2
639-V	2	2
639-V	3	2
647-V	1	2
647-V	2	2
647-V	3	2
697	1	2
697	2	2
697	3	2
769-P	1	2
769-P	2	2
769-P	3	2
786-0	1	2
786-0	2	2
786-0	3	2
8-MG-BA	1	2
8-MG-BA	2	2
8-MG-BA	3	2
8305C	1	2
8305C	2	2
8305C	3	2
8505C	1	2
8505C	2	2
8505C	3	2
A172	1	2
A172	2	2
A172	3	2
A204	1	2
A204	2	2
A204	3	2
A2058	1	2
A2058	2	2
A2058	3	2
A253	1	2
A253	2	2
A253	3	2
A2780	1	2
A2780	2	2
A2780	3	2
A3-KAW	1	2
A3-KAW	2	2
A3-KAW	3	2
A375	1	2
A375	2	2
A375	3	2
A388	1	2
A388	2	2
A388	3	2
A4-Fuk	1	2
A4-Fuk	2	2
A4-Fuk	3	2
A427	1	2
A427	2	2
A427	3	2
A431	1	2
A431	2	2
A498	1	2
A498	2	2
A498	3	2
A549	1	2
A549	2	2
A549	3	2
A673	1	2
A673	2	2
A673	3	2
A704	1	2
A704	2	2
A704	3	2
ABC-1	1	2
ABC-1	2	2
ABC-1	3	2
ACHN	1	2
ACHN	2	2
ACHN	3	2
AGS	1	2
AGS	2	2
AGS	3	2
ALL-PO	1	2
ALL-PO	2	2
ALL-PO	3	2
ALL-SIL	1	2
ALL-SIL	2	2
ALL-SIL	3	2
AM-38	1	2
AM-38	2	2
AM-38	3	2
AMO-1	1	2
AMO-1	2	2
AMO-1	3	2
AN3-CA	1	2
AN3-CA	2	2
AN3-CA	3	2
ARH-77	1	2
ARH-77	2	2
ARH-77	3	2
ASH-3	1	2
ASH-3	2	2
ASH-3	3	2
ATN-1	1	2
ATN-1	2	2
ATN-1	3	2
AU565	1	2
AU565	2	2
AU565	3	2
AsPC-1	1	2
AsPC-1	2	2
AsPC-1	3	2
B-CPAP	1	2
B-CPAP	2	2
B-CPAP	3	2
BALL-1	1	2
BALL-1	2	2
BALL-1	3	2
BB30-HNC	1	2
BB30-HNC	2	2
BB30-HNC	3	2
BB65-RCC	1	2
BB65-RCC	2	2
BB65-RCC	3	2
BC-1	1	2
BC-1	2	2
BC-1	3	2
BC-3	1	2
BC-3	2	2
BC-3	3	2
BE-13	1	2
BE-13	2	2
BE-13	3	2
BE2-M17	1	2
BE2-M17	2	2
BE2-M17	3	2
BEN	1	2
BEN	2	2
BEN	3	2
BFTC-905	1	2
BFTC-905	2	2
BFTC-905	3	2
BFTC-909	1	2
BFTC-909	2	2
BFTC-909	3	2
BHT-101	1	2
BHT-101	2	2
BHT-101	3	2
BHY	1	2
BHY	2	2
BHY	3	2
BICR22	1	2
BICR22	2	2
BICR31	1	2
BICR31	2	2
BICR31	3	2
BICR78	1	2
BICR78	2	2
BICR78	3	2
BL-41	1	2
BL-41	2	2
BL-41	3	2
BONNA-12	1	2
BONNA-12	2	2
BONNA-12	3	2
BPH-1	1	2
BPH-1	2	2
BPH-1	3	2
BT-20	1	2
BT-20	2	2
BT-20	3	2
BT-474	1	2
BT-474	2	2
BT-474	3	2
BT-483	1	2
BT-483	2	2
BT-483	3	2
BT-549	1	2
BT-549	2	2
BT-549	3	2
BV-173	1	2
BV-173	2	2
BV-173	3	2
Becker	1	2
Becker	2	2
Becker	3	2
BxPC-3	1	2
BxPC-3	2	2
BxPC-3	3	2
C-33-A	1	2
C-33-A	2	2
C-33-A	3	2
C-4-I	1	2
C-4-I	2	2
C-4-I	3	2
C2BBe1	1	2
C2BBe1	2	2
C2BBe1	3	2
C32	1	2
C32	2	2
C32	3	2
C3A	1	2
C3A	2	2
C3A	3	2
CA46	1	2
CA46	2	2
CA46	3	2
CADO-ES1	1	2
CADO-ES1	2	2
CADO-ES1	3	2
CAKI-1	1	2
CAKI-1	2	2
CAKI-1	3	2
CAL-120	1	2
CAL-120	2	2
CAL-120	3	2
CAL-12T	1	2
CAL-12T	2	2
CAL-12T	3	2
CAL-148	1	2
CAL-148	2	2
CAL-148	3	2
CAL-27	1	2
CAL-27	2	2
CAL-27	3	2
CAL-29	1	2
CAL-29	2	2
CAL-29	3	2
CAL-33	1	2
CAL-33	2	2
CAL-33	3	2
CAL-39	1	2
CAL-39	2	2
CAL-39	3	2
CAL-51	1	2
CAL-51	2	2
CAL-51	3	2
CAL-54	1	2
CAL-54	2	2
CAL-54	3	2
CAL-62	1	2
CAL-62	2	2
CAL-62	3	2
CAL-72	1	2
CAL-72	2	2
CAL-72	3	2
CAL-78	1	2
CAL-78	2	2
CAL-78	3	2
CAL-85-1	1	2
CAL-85-1	2	2
CAL-85-1	3	2
CAMA-1	1	2
CAMA-1	2	2
CAMA-1	3	2
CAPAN-1	1	2
CAPAN-1	2	2
CAPAN-1	3	2
CAPAN-2	1	2
CAPAN-2	2	2
CAPAN-2	3	2
CAS-1	1	2
CAS-1	2	2
CAS-1	3	2
CCF-STTG1	1	2
CCF-STTG1	2	2
CCF-STTG1	3	2
CCK-81	1	2
CCK-81	2	2
CCK-81	3	2
CCRF-CEM	1	2
CCRF-CEM	2	2
CCRF-CEM	3	2
CESS	1	2
CESS	2	2
CESS	3	2
CFPAC-1	1	2
CFPAC-1	2	2
CFPAC-1	3	2
CGTH-W-1	1	2
CGTH-W-1	2	2
CGTH-W-1	3	2
CHL-1	1	2
CHL-1	2	2
CHL-1	3	2
CHP-126	1	2
CHP-126	2	2
CHP-126	3	2
CHP-212	1	2
CHP-212	2	2
CHP-212	3	2
CHSA0011	1	2
CHSA0011	2	2
CHSA0011	3	2
CHSA0108	1	2
CHSA0108	2	2
CHSA0108	3	2
CHSA8926	1	2
CHSA8926	2	2
CL-11	1	2
CL-11	2	2
CL-11	3	2
CL-40	1	2
CL-40	2	2
CL-40	3	2
CML-T1	1	2
CML-T1	2	2
CML-T1	3	2
COLO-205	1	2
COLO-205	2	2
COLO-205	3	2
COLO-320-HSR	1	2
COLO-320-HSR	2	2
COLO-320-HSR	3	2
COLO-668	1	2
COLO-668	2	2
COLO-668	3	2
COLO-678	1	2
COLO-678	2	2
COLO-678	3	2
COLO-679	1	2
COLO-679	2	2
COLO-679	3	2
COLO-680N	1	2
COLO-680N	2	2
COLO-680N	3	2
COLO-684	1	2
COLO-684	2	2
COLO-684	3	2
COLO-783	1	2
COLO-783	2	2
COLO-783	3	2
COLO-792	1	2
COLO-792	2	2
COLO-792	3	2
COLO-800	1	2
COLO-800	2	2
COLO-800	3	2
COLO-824	1	2
COLO-824	2	2
COLO-824	3	2
COLO-829	1	2
COLO-829	2	2
COLO-829	3	2
COR-L105	1	2
COR-L105	2	2
COR-L105	3	2
COR-L23	1	2
COR-L23	2	2
COR-L23	3	2
COR-L279	1	2
COR-L279	2	2
COR-L279	3	2
COR-L303	1	2
COR-L303	2	2
COR-L303	3	2
COR-L311	1	2
COR-L311	2	2
COR-L311	3	2
COR-L32	1	2
COR-L32	2	2
COR-L32	3	2
COR-L321	1	2
COR-L321	2	2
COR-L321	3	2
COR-L88	1	2
COR-L88	2	2
COR-L88	3	2
COR-L95	1	2
COR-L95	2	2
COR-L95	3	2
CP50-MEL-B	1	2
CP50-MEL-B	2	2
CP50-MEL-B	3	2
CP66-MEL	1	2
CP66-MEL	2	2
CP66-MEL	3	2
CPC-N	1	2
CPC-N	2	2
CPC-N	3	2
CRO-AP2	1	2
CRO-AP2	2	2
CRO-AP2	3	2
CS1	1	2
CS1	2	2
CS1	3	2
CTB-1	1	2
CTB-1	2	2
CTB-1	3	2
CTV-1	1	2
CTV-1	2	2
CTV-1	3	2
CW-2	1	2
CW-2	2	2
CW-2	3	2
Ca-Ski	1	2
Ca-Ski	2	2
Ca-Ski	3	2
Ca9-22	1	2
Ca9-22	2	2
Ca9-22	3	2
CaR-1	1	2
CaR-1	2	2
CaR-1	3	2
Calu-3	1	2
Calu-3	2	2
Calu-3	3	2
Calu-6	1	2
Calu-6	2	2
Calu-6	3	2
Caov-3	1	2
Caov-3	2	2
Caov-3	3	2
Caov-4	1	2
Caov-4	2	2
Caov-4	3	2
ChaGo-K-1	1	2
ChaGo-K-1	2	2
ChaGo-K-1	3	2
D-245MG	1	2
D-245MG	2	2
D-245MG	3	2
D-247MG	1	2
D-247MG	2	2
D-247MG	3	2
D-263MG	1	2
D-263MG	2	2
D-263MG	3	2
D-283MED	1	2
D-283MED	2	2
D-283MED	3	2
D-336MG	1	2
D-336MG	2	2
D-336MG	3	2
D-392MG	1	2
D-392MG	2	2
D-392MG	3	2
D-423MG	1	2
D-423MG	2	2
D-423MG	3	2
D-502MG	1	2
D-502MG	2	2
D-502MG	3	2
D-542MG	1	2
D-542MG	2	2
D-542MG	3	2
D-566MG	1	2
D-566MG	2	2
D-566MG	3	2
DAN-G	1	2
DAN-G	2	2
DAN-G	3	2
DB	1	2
DB	2	2
DB	3	2
DBTRG-05MG	1	2
DBTRG-05MG	2	2
DBTRG-05MG	3	2
DEL	1	2
DEL	2	2
DEL	3	2
DG-75	1	2
DG-75	2	2
DG-75	3	2
DJM-1	1	2
DJM-1	2	2
DJM-1	3	2
DK-MG	1	2
DK-MG	2	2
DK-MG	3	2
DMS-114	1	2
DMS-114	2	2
DMS-114	3	2
DMS-273	1	2
DMS-273	2	2
DMS-273	3	2
DMS-53	1	2
DMS-53	2	2
DMS-53	3	2
DMS-79	1	2
DMS-79	2	2
DMS-79	3	2
DND-41	1	2
DND-41	2	2
DND-41	3	2
DOHH-2	1	2
DOHH-2	2	2
DOHH-2	3	2
DOK	1	2
DOK	2	2
DOK	3	2
DOV13	1	2
DOV13	2	2
DOV13	3	2
DSH1	1	2
DSH1	2	2
DSH1	3	2
DU-145	1	2
DU-145	2	2
DU-145	3	2
DU-4475	1	2
DU-4475	2	2
DU-4475	3	2
Daoy	1	2
Daoy	2	2
Daoy	3	2
Daudi	1	2
Daudi	2	2
Daudi	3	2
Detroit562	1	2
Detroit562	2	2
Detroit562	3	2
DiFi	1	2
DiFi	2	2
DiFi	3	2
DoTc2-4510	1	2
DoTc2-4510	2	2
DoTc2-4510	3	2
EB-3	1	2
EB-3	2	2
EB-3	3	2
EB2	1	2
EB2	2	2
EB2	3	2
EBC-1	1	2
EBC-1	2	2
EBC-1	3	2
EC-GI-10	1	2
EC-GI-10	2	2
EC-GI-10	3	2
ECC10	1	2
ECC10	2	2
ECC10	3	2
ECC12	1	2
ECC12	2	2
ECC12	3	2
EFM-19	1	2
EFM-19	2	2
EFM-19	3	2
EFM-192A	1	2
EFM-192A	2	2
EFM-192A	3	2
EFO-21	1	2
EFO-21	2	2
EFO-21	3	2
EFO-27	1	2
EFO-27	2	2
EFO-27	3	2
EGI-1	1	2
EGI-1	2	2
EGI-1	3	2
EJM	1	2
EJM	2	2
EJM	3	2
EKVX	1	2
EKVX	2	2
EKVX	3	2
EM-2	1	2
EM-2	2	2
EM-2	3	2
EMC-BAC-1	1	2
EMC-BAC-1	2	2
EMC-BAC-1	3	2
EMC-BAC-2	1	2
EMC-BAC-2	2	2
EMC-BAC-2	3	2
EN	1	2
EN	2	2
EN	3	2
EPLC-272H	1	2
EPLC-272H	2	2
EPLC-272H	3	2
ES-2	1	2
ES-2	2	2
ES-2	3	2
ES1	1	2
ES1	2	2
ES1	3	2
ES3	1	2
ES3	2	2
ES3	3	2
ES4	1	2
ES4	2	2
ES4	3	2
ES5	1	2
ES5	2	2
ES5	3	2
ES6	1	2
ES6	2	2
ES7	1	2
ES7	2	2
ES7	3	2
ES8	1	2
ES8	2	2
ES8	3	2
ESO26	1	2
ESO26	2	2
ESO26	3	2
ESO51	1	2
ESO51	2	2
ESO51	3	2
ESS-1	1	2
ESS-1	2	2
ESS-1	3	2
ETK-1	1	2
ETK-1	2	2
ETK-1	3	2
EVSA-T	1	2
EVSA-T	2	2
EVSA-T	3	2
EW-1	1	2
EW-1	2	2
EW-1	3	2
EW-11	1	2
EW-11	2	2
EW-11	3	2
EW-12	1	2
EW-12	2	2
EW-12	3	2
EW-13	1	2
EW-13	2	2
EW-13	3	2
EW-16	1	2
EW-16	2	2
EW-16	3	2
EW-18	1	2
EW-18	2	2
EW-18	3	2
EW-22	1	2
EW-22	2	2
EW-22	3	2
EW-24	1	2
EW-24	2	2
EW-24	3	2
EW-3	1	2
EW-3	2	2
EW-3	3	2
EW-7	1	2
EW-7	2	2
EW-7	3	2
EoL-1-cell	1	2
EoL-1-cell	2	2
EoL-1-cell	3	2
FADU	1	2
FADU	2	2
FADU	3	2
FLO-1	1	2
FLO-1	2	2
FLO-1	3	2
FTC-133	1	2
FTC-133	2	2
FTC-133	3	2
FU-OV-1	1	2
FU-OV-1	2	2
FU-OV-1	3	2
FU97	1	2
FU97	2	2
FU97	3	2
Farage	1	2
Farage	2	2
Farage	3	2
G-292-Clone-A141B1	1	2
G-292-Clone-A141B1	2	2
G-292-Clone-A141B1	3	2
G-361	1	2
G-361	2	2
G-361	3	2
G-401	1	2
G-401	2	2
G-401	3	2
G-402	1	2
G-402	2	2
G-402	3	2
G-MEL	1	2
G-MEL	2	2
G-MEL	3	2
GA-10	1	2
GA-10	2	2
GA-10	3	2
GAK	1	2
GAK	2	2
GAK	3	2
GAMG	1	2
GAMG	2	2
GAMG	3	2
GB-1	1	2
GB-1	2	2
GB-1	3	2
GCIY	1	2
GCIY	2	2
GCIY	3	2
GCT	1	2
GCT	2	2
GCT	3	2
GDM-1	1	2
GDM-1	2	2
GDM-1	3	2
GI-1	1	2
GI-1	2	2
GI-1	3	2
GI-ME-N	1	2
GI-ME-N	2	2
GI-ME-N	3	2
GMS-10	1	2
GMS-10	2	2
GMS-10	3	2
GOTO	1	2
GOTO	2	2
GOTO	3	2
GP5d	1	2
GP5d	2	2
GP5d	3	2
GR-ST	1	2
GR-ST	2	2
GR-ST	3	2
GRANTA-519	1	2
GRANTA-519	2	2
GRANTA-519	3	2
H-EMC-SS	1	2
H-EMC-SS	2	2
H-EMC-SS	3	2
H3255	1	2
H3255	2	2
H3255	3	2
H4	1	2
H4	2	2
H4	3	2
H9	1	2
H9	2	2
H9	3	2
HA7-RCC	1	2
HA7-RCC	2	2
HA7-RCC	3	2
HAL-01	1	2
HAL-01	2	2
HAL-01	3	2
HARA	1	2
HARA	2	2
HARA	3	2
HC-1	1	2
HC-1	2	2
HC-1	3	2
HCC-15	1	2
HCC-15	2	2
HCC-15	3	2
HCC-33	1	2
HCC-33	2	2
HCC-33	3	2
HCC-366	1	2
HCC-366	2	2
HCC-366	3	2
HCC-44	1	2
HCC-44	2	2
HCC-44	3	2
HCC-78	1	2
HCC-78	2	2
HCC-78	3	2
