Automatic_MS_filename	Batch	Code	Daisy_chain	Date	Instrument	Replicate	Cell_line	Cancer_type	Tissue_type	SIDM	growth_properties	MSI_status	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type_detail	sample_site	gender	ethnicity	smoking_status	BROAD_ID	COSMIC_ID	CCLE_ID
180822_e0022_p02_8078_1_s_m04_1	P02	8078	No	22/8/18	M04	1	BC-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00896	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Primary Effusion Lymphoma	Peritoneal Cavity	Male	Unknown	Unknown	ACH-002214	910919	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8078_2_s_m04_1	P02	8078	No	22/8/18	M04	2	BC-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00896	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Primary Effusion Lymphoma	Peritoneal Cavity	Male	Unknown	Unknown	ACH-002214	910919	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8078_3_s_m04_1	P02	8078	No	22/8/18	M04	3	BC-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00896	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Primary Effusion Lymphoma	Peritoneal Cavity	Male	Unknown	Unknown	ACH-002214	910919	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_3090_1_s_m04_1	P02	3090	No	22/8/18	M04	1	L-363	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM00312	Suspension	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Plasma Cell Myeloma	Peripheral blood	Female	Unknown	Unknown	ACH-000183	924239	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_3090_2_s_m04_1	P02	3090	No	22/8/18	M04	2	L-363	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM00312	Suspension	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Plasma Cell Myeloma	Peripheral blood	Female	Unknown	Unknown	ACH-000183	924239	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_3090_3_s_m04_1	P02	3090	No	22/8/18	M04	3	L-363	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM00312	Suspension	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Plasma Cell Myeloma	Peripheral blood	Female	Unknown	Unknown	ACH-000183	924239	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8329_1_s_m04_1	P02	8329	No	22/8/18	M04	1	EoL-1-cell	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00277	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Chronic Eosinophilic Leukemia	Unknown	Male	East Asian	Unknown	ACH-000198	906856	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8329_2_s_m04_1	P02	8329	No	22/8/18	M04	2	EoL-1-cell	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00277	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Chronic Eosinophilic Leukemia	Unknown	Male	East Asian	Unknown	ACH-000198	906856	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_8329_3_s_m04_1	P02	8329	No	22/8/18	M04	3	EoL-1-cell	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00277	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Chronic Eosinophilic Leukemia	Unknown	Male	East Asian	Unknown	ACH-000198	906856	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_7431_1_s_m04_1	P02	7431	No	22/8/18	M04	1	NCI-H727	Other Solid Carcinomas	Lung	SIDM01119	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Lung Carcinoid Tumor	Bronchus	Female	White	Unknown	ACH-000775	724855	NCIH727_LUNG
180822_e0022_p02_7431_2_s_m04_1	P02	7431	No	22/8/18	M04	2	NCI-H727	Other Solid Carcinomas	Lung	SIDM01119	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Lung Carcinoid Tumor	Bronchus	Female	White	Unknown	ACH-000775	724855	NCIH727_LUNG
180822_e0022_p02_7431_3_s_m04_1	P02	7431	No	22/8/18	M04	3	NCI-H727	Other Solid Carcinomas	Lung	SIDM01119	Adherent	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Lung Carcinoid Tumor	Bronchus	Female	White	Unknown	ACH-000775	724855	NCIH727_LUNG
180822_e0022_p02_7741_1_s_m04_1	P02	7741	No	22/8/18	M04	1	MV-4-11	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00657	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	Childhood Acute Differentiated Monocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000045	908156	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_7741_2_s_m04_1	P02	7741	No	22/8/18	M04	2	MV-4-11	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00657	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	Childhood Acute Differentiated Monocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000045	908156	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_7741_3_s_m04_1	P02	7741	No	22/8/18	M04	3	MV-4-11	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00657	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	Childhood Acute Differentiated Monocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000045	908156	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
180822_e0022_p02_2921_1_s_m04_1	P02	2921	No	22/8/18	M04	1	HSC-39	Gastric Carcinoma	Stomach	SIDM00045	Unknown	MSS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Signet Ring Cell Gastric Adenocarcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002141	1322224	HSC39_STOMACH
180822_e0022_p02_2049_2_s_m04_1	P02	2049	No	22/8/18	M04	2	RPMI-8402	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00403	Suspension	MSS	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Childhood T Acute Lymphoblastic Leukemia	Peripheral blood	Female	Unknown	Unknown	ACH-000636	909702	RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
