,ppi,dtype,auc,file
0,corum,prot,0.7954251721579689,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
1,corum,gexp,0.7232354149254773,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
2,corum,crispr,0.6320452223526791,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
3,corum,merged,0.8171905950397917,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
4,biogrid,prot,0.6593673668949116,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
5,biogrid,gexp,0.572069925833625,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
6,biogrid,crispr,0.5247771567082731,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
7,biogrid,merged,0.6444301626482315,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
8,string,prot,0.7010028612457544,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
9,string,gexp,0.6609105085184868,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
10,string,crispr,0.5786028007320877,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
11,string,merged,0.7288739129670514,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
12,huri,prot,0.5488682127966756,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
13,huri,gexp,0.526594718386422,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
14,huri,crispr,0.5147065410928857,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
15,huri,merged,0.540187008865815,e0022_maxlfq_diann_protein_matrix_300921_multiple_hits.txt
