,Sanger&CMRI,Broad
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,-0.4987900293560309,-0.37321313245029963
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,-0.47717060067323136,-0.3570112411380219
GO_PROTEASOME_ACCESSORY_COMPLEX,-0.4582714609051965,-0.3057112560852721
GO_CHAPERONE_COMPLEX,-0.44390662365242417,-0.3269210223630105
GO_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY,-0.4189966285083233,-0.2475235748340242
GO_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX,-0.4181948343680888,-0.2944114825464302
GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_HYPOXIA,-0.405875740992284,-0.2062366219104714
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,-0.40504481051028973,-0.18902619196287454
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,-0.40475650950328,-0.18975481084206952
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,-0.40468939815200206,-0.15840503995324587
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING,-0.3998653770544514,-0.2613483835842585
GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,-0.3997381980244852,-0.23594285878540486
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,-0.39921880978067004,-0.2779415549927207
GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX,-0.3980579368975892,-0.2727811154398203
REACTOME_DEGRADATION_OF_AXIN,-0.39730074581332875,-0.24442735328916843
REACTOME_DEGRADATION_OF_DVL,-0.39714824847928815,-0.25718670385118275
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,-0.3959655542795287,-0.251425984755873
GO_ENDOPEPTIDASE_COMPLEX,-0.3923410660465481,-0.282744738832045
GO_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,-0.3918759054711819,-0.18076753140740168
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,-0.39156439702532636,-0.2660331987341365
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,-0.3915317591599221,-0.29618774953447624
KEGG_PROTEASOME,-0.391418097970476,-0.2528378316237781
REACTOME_DNA_REPLICATION_PRE_INITIATION,-0.39075841471095646,-0.20170074800914925
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,-0.38951291023782425,-0.23818799136785204
GO_REGULATION_OF_CELLULAR_AMINO_ACID_METABOLIC_PROCESS,-0.38935199488472466,-0.22618332181164844
REACTOME_METABOLISM_OF_POLYAMINES,-0.38919995757554465,-0.2201879841907016
GO_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS,-0.3864653373516977,-0.21430832863181629
GO_THREONINE_TYPE_PEPTIDASE_ACTIVITY,-0.3864653373516977,-0.19641128319848417
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY,-0.38611404444134545,-0.20674698877560876
GO_PROTEASOME_CORE_COMPLEX,-0.385270187661011,-0.24836346233920575
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,-0.3820204061272163,-0.22729842622438115
REACTOME_STABILIZATION_OF_P53,-0.3820204061272163,-0.23677905000827587
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,-0.381679642935648,-0.20542334469682708
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,-0.37700117439287945,-0.25709053749376853
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,-0.376949769472514,-0.21358696544016847
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,-0.3761831435493949,-0.21379487316399545
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,-0.37600032410262196,-0.252251631175085
