,corr,pvalue
SIDM01095,0.3744929632966222,3.0072375242983584e-90
SIDM00201,0.3909166840675938,1.6158520948350718e-100
SIDM00501,-0.0002344263883949995,0.9910444528963069
SIDM00835,-0.08308514912612391,7.36736748209893e-05
SIDM00305,-0.13984102241753413,7.643338352522504e-12
SIDM01147,0.24177781637589377,1.089856050172813e-37
SIDM00519,0.24279603410643913,1.0213578878640953e-32
SIDM01132,0.2768671233642249,4.7765382295153784e-48
SIDM00566,0.018496595732591405,0.37113767337802916
SIDM01117,0.3326022593199337,2.0101738487276666e-68
SIDM01027,0.07334091281875686,0.00034738697181627165
SIDM01085,0.10640731957864075,1.1004031338185973e-07
SIDM00613,0.16144045779028424,1.6255561870732989e-15
SIDM00866,-0.001605117720318635,0.9398845531914354
SIDM00498,0.1638309871196996,9.65473735352239e-17
SIDM00703,0.29121193019548014,9.373123732638313e-55
SIDM01183,0.18929619909984802,4.436800115348929e-22
SIDM01265,0.45068283012441607,9.92204829924363e-126
SIDM01002,-0.039127396973722466,0.08362465091638972
SIDM00460,0.39431087905155104,2.3646645134549535e-97
SIDM00355,0.09338969562047093,2.1797652917489443e-06
SIDM00603,0.1784373284904209,9.287591226331026e-20
SIDM00118,0.3276598401375817,1.3990339492482013e-67
SIDM00954,0.17433708371265405,4.452694281176866e-18
SIDM00420,0.4126460095150099,3.090016847689076e-114
SIDM00720,0.47869557492046877,1.7227788583780204e-155
SIDM01159,0.41392909769029324,2.719216750043029e-115
SIDM00771,0.23784990376734166,3.097024977676208e-35
SIDM00852,0.42977377610779105,2.42504331653958e-126
SIDM00834,0.22313446258453085,2.1802710589878067e-31
SIDM00367,0.4214723920663037,1.2818934582462887e-116
SIDM00859,0.1474295449613448,1.4113884450597656e-11
SIDM00504,0.3164846958382546,6.409707506798523e-62
SIDM00476,-0.13912389235195563,2.392478159088931e-10
SIDM01205,0.21594871035381796,2.111399184042724e-25
SIDM00346,0.4057971496371501,9.590915393455279e-105
SIDM00909,0.3394964771448777,4.264406490431195e-75
SIDM00921,0.24848101654658283,2.648980280219967e-39
SIDM00128,0.02611639924695319,0.18876375546600194
SIDM01114,0.31519898929181256,6.998341001326236e-61
SIDM01082,-0.041361584380601134,0.048099991239490894
SIDM00755,0.23380708403498726,1.145892585263625e-33
SIDM01251,0.42835298867205385,1.3450651266062845e-115
SIDM01029,0.13142420910338098,3.0004485395879275e-11
SIDM00841,0.2970087944409081,8.501709671993061e-56
