,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100
SIDM00329,0.89247,-0.26164,2.55549,0.14061,-0.74181,-0.74522,-0.28605,-0.36416,-0.37284,-4.41147,-0.06745,-0.17347,2.10105,-0.03546,-0.08479,0.19892,-0.49246,1.34412,0.30703,0.14082,-0.73945,-0.02426,-0.04915,0.4963,0.38058,-0.22105,-0.1173,1.91441,1.04789,0.1879,-0.04476,-0.02819,-0.0126,0.08354,-0.44276,-0.6995,0.06848,-0.29143,0.40588,0.92104,-0.02358,-0.76359,0.09374,0.08539,-0.12047,-0.19704,-0.11974,0.07872,0.0874,0.87822,-0.11013,0.16005,-0.03133,0.23786,-0.02934,-0.18037,-0.0172,0.19814,-0.10884,-0.00479,-0.10003,0.07758,0.2229,0.44006,0.01307,0.12712,0.12012,0.08615,-0.12073,0.00958,-0.3172,-0.12079,0.3013,-0.15369,0.04215,-0.03322,0.13332,-0.10382,-0.05592,-0.2826,0.28031,0.00266,0.15523,0.06531,-0.00329,-0.3647,0.40447,0.15222,0.04553,0.15347,-0.18919,0.0911,-0.0382,-0.14565,-0.00794,-0.01876,0.00683,-0.03198,0.0977,-0.10606
SIDM00327,0.0584,0.34984,1.06271,-0.27806,0.11983,-1.21187,0.04718,-1.15267,-0.38571,-3.73983,-0.13003,-0.17167,2.05801,0.04354,0.14156,-0.07509,0.29319,0.10815,0.33786,-0.19182,-0.50475,0.0668,0.02037,0.13941,-0.26304,0.02695,0.58075,3.19469,0.77709,0.01923,-0.9951,-0.06729,0.0599,0.00467,0.73118,-0.75354,0.21467,-0.04821,0.31167,0.30101,0.10482,-0.50336,0.12518,-0.52389,-0.69667,-0.09958,-0.28241,-0.24882,-0.06216,1.18279,0.20225,-0.02231,0.0342,0.01658,-0.05636,-0.34037,-0.02446,0.03445,-0.07863,0.03965,0.08427,0.43096,0.24687,0.23105,-0.19863,-0.16219,-0.03096,0.28126,0.11464,0.03745,-0.2255,-0.01971,0.05125,-0.21705,0.12698,0.19045,0.43226,0.23581,-0.2243,0.01524,-0.03057,-0.515,-0.01731,0.13281,-0.0042,-0.0656,0.16068,0.11164,-0.11403,-0.02265,-0.13013,-0.05368,-0.11542,0.33053,0.02041,0.13066,0.26742,0.04307,0.02258,0.01738
SIDM00502,1.58031,-1.0362,2.74966,1.09904,-3.13525,0.15303,-0.50745,-0.65733,0.83371,-1.21349,-0.0934,0.06787,1.81744,-0.10382,-0.0462,0.71457,0.45448,1.20551,0.13303,-0.98182,0.56432,-0.18685,-0.1422,0.11406,0.62287,0.14985,-0.11036,-2.97087,0.09965,0.32713,-0.09707,-0.71279,0.03338,0.06992,-0.19744,0.21395,0.26943,0.03967,0.55403,1.81668,0.06993,-0.20507,-0.16317,-0.44897,-0.23613,-0.02018,-0.10932,0.21396,0.16441,-0.12082,-0.0824,-0.11797,0.17342,0.03693,0.17807,0.04661,0.22829,-0.12214,-0.01249,-0.03839,-0.09937,0.23328,-0.06338,0.44393,0.70751,0.31527,0.00505,-0.01377,0.04588,-0.22834,0.04858,-0.0196,0.10454,-0.06134,-0.11522,0.06956,0.10397,0.07445,0.28757,-0.17655,-0.23831,-0.11593,-0.22123,0.23212,-0.15637,0.20743,-0.03435,-0.1609,-0.04354,0.18287,0.03882,-0.16215,0.06456,-0.08688,-0.05886,0.12894,0.13046,-0.1197,0.09336,0.02341
SIDM00793,0.42227,1.19794,-1.04763,-0.19029,-0.43119,0.13643,0.28086,-1.18233,-0.94091,1.00283,-0.00906,-0.25918,0.32224,-0.92185,-0.06985,-0.51396,0.05811,0.45438,-0.12838,0.25383,0.14526,-0.2723,-0.1146,0.23077,0.27464,0.02467,0.28625,0.23807,-0.10147,0.10929,0.50516,0.37195,-0.07657,0.22613,-0.14398,0.15197,-0.08826,0.11224,-0.19821,-0.06792,-0.10782,0.78781,-0.07144,-0.03219,0.26534,-0.11696,-0.0544,0.36312,-0.15957,0.15881,-0.24234,-0.09236,-0.08412,-0.29179,-0.02347,0.13297,0.24106,-0.07059,0.0286,0.08421,-0.11823,0.13026,-0.2751,-0.1823,0.06703,0.03267,0.00321,0.09542,0.06576,-0.02082,0.03334,0.37571,0.06667,0.164,0.03358,0.21906,-0.02725,-0.07267,0.04333,-0.02212,0.05118,0.26431,0.10445,0.09498,-0.24069,-0.07619,-0.05679,-0.31347,-0.1006,-0.08515,0.01572,-0.17971,0.06922,-0.0703,0.12325,0.2368,0.00668,0.00656,-0.04272,-0.00965
SIDM01251,-0.37296,0.02504,1.27587,-0.39218,-0.78175,-0.96252,-0.02489,0.54585,1.80955,-0.12991,0.11119,0.0395,0.41262,0.07005,-0.06992,0.64185,0.39493,-0.33966,0.83431,0.3748,-0.35767,-0.11284,-0.01004,-0.19311,0.1822,-0.27238,0.03364,0.35144,-0.05483,-0.07935,0.19982,0.2853,-0.0747,-0.09974,-0.54098,-0.09045,-0.08454,0.1793,1.12296,-0.06849,-0.02567,-0.03778,0.18635,0.11957,-0.17646,-0.10935,-0.07557,0.10782,-0.34992,0.59403,0.07808,-0.16776,0.32676,0.02099,-0.03816,-0.09493,-0.10806,-0.16469,-0.00261,0.01693,-0.0393,0.04187,0.05828,-0.36617,0.31323,-0.01076,-0.03433,-0.12941,-0.10863,0.11262,-0.11758,0.25131,0.42669,0.06513,0.04684,0.07958,0.14641,0.03006,-0.03521,0.14186,-0.08245,-0.11156,-0.15111,0.039,-0.31605,0.18041,0.04387,0.04103,-0.21881,0.00754,0.09861,0.09448,-0.05634,-0.04757,0.08891,0.23964,0.09682,0.04677,-0.04439,-0.05803
SIDM00441,-0.62525,-1.4126,0.84282,-0.05224,0.68314,0.41743,-0.2711,2.30911,2.14928,-0.04963,0.10173,0.46356,-0.86268,0.12569,0.0731,0.65543,-0.0577,-0.22779,-0.90904,0.12707,-0.51264,0.43075,0.03161,-0.0674,-0.11523,0.11945,-0.22384,-1.37767,-0.07456,0.09435,-0.39787,0.01374,0.04359,-0.23619,-0.22771,0.18888,-0.21189,0.03554,-0.35606,-0.41792,0.10928,-1.27051,-0.04358,-0.06053,0.02723,0.26453,0.01092,-0.25242,-0.21541,0.43839,0.12731,0.04004,0.33378,0.01486,-0.19981,0.23802,0.11407,0.08993,0.15915,0.11569,0.06689,0.06522,-0.86197,0.12565,0.15288,-0.06123,-0.05382,-0.06086,0.27061,0.05248,0.06417,0.15396,0.02496,0.35261,-0.21373,-0.15394,0.01152,-0.09037,0.03317,0.07338,-0.1153,-0.20188,0.00311,0.00198,0.08908,0.27035,0.36941,-0.11165,0.00529,-0.17197,0.14882,0.0348,0.1061,0.00696,-0.10457,-0.05759,0.02531,0.04677,0.03664,-0.0834
SIDM00636,-0.16171,-0.10819,-0.16356,0.39644,-0.48781,-0.41394,0.04161,-0.61267,0.921,0.12011,-0.07813,0.04029,0.38909,-0.05311,0.01043,-0.17959,0.23752,0.17684,0.42595,0.69563,-0.14407,0.32021,0.1144,-0.11569,0.0343,-0.00339,0.03056,1.8397,-0.55876,-0.21957,-0.24113,-0.22523,0.01999,-0.01483,-0.44223,-0.11962,0.38057,0.10208,0.33216,-0.25453,-0.02726,-0.71026,-0.02264,-0.052,0.2997,-0.02814,0.04925,-0.25273,-0.15315,-0.87745,0.05335,0.02758,-0.14249,0.31284,0.00018,0.11855,-0.14828,0.04456,0.06178,0.07811,0.0778,-0.04579,0.33756,-0.90508,0.07435,0.11832,0.00524,0.06985,0.01349,0.01982,0.28102,-0.02408,0.23288,-0.02819,0.03057,-0.07866,-0.13843,0.0324,-0.09417,0.09171,-0.01941,0.21278,-0.03408,-0.02992,0.0477,-0.12227,-0.0824,0.00245,-0.06901,-0.10398,0.095,-0.10967,0.05156,0.0244,-0.14063,-0.03994,-0.05706,0.00288,0.06756,0.0154
SIDM00412,-1.48034,0.91168,-2.3928,-0.0595,1.27649,0.0811,0.47202,-1.39241,-1.74241,1.78895,-0.07606,-0.04011,-0.34588,-0.09996,0.01567,0.014,0.35682,-1.16371,-0.14475,0.23429,-0.04982,0.16784,0.05393,-0.18237,-0.37943,0.04054,0.05993,0.59753,0.03951,-0.26367,0.77917,-0.055,0.0062,-0.00664,0.49922,0.24586,0.03495,0.07412,0.58342,-0.74558,-0.04128,0.26597,0.16134,-0.12343,0.04475,0.33253,-0.25486,0.02481,0.31876,0.2559,0.13353,0.07082,-0.18576,0.0245,-0.04691,-0.16671,0.09422,-0.01907,0.07014,-0.01452,0.05495,0.27391,-0.01289,-0.05737,-0.0494,-0.07105,-0.01932,0.09453,-0.08355,-0.01664,-0.09173,-0.19572,-0.05526,0.13768,0.05254,0.15026,0.02025,0.13739,0.25624,0.13851,-0.04191,0.20432,-0.07498,0.07311,-0.05795,0.00697,0.1413,-0.01128,0.02196,-0.11454,-0.10118,0.01344,-0.0318,0.1591,-0.25526,0.06293,-0.13933,-0.19277,-0.1519,0.13149
SIDM01003,0.70557,0.00861,0.05295,-0.71633,-0.10723,-1.23945,0.00357,1.584,1.58224,1.38066,0.15366,-0.10589,-2.06439,-0.01257,-0.06736,-0.26923,-0.17013,-0.80929,1.71273,-0.28071,-0.07667,0.05488,-0.06159,-0.35308,0.06522,-0.1488,0.14804,-0.3597,-0.21551,-0.07837,0.20095,0.26921,-0.03201,0.14412,0.48034,-0.01297,-0.08102,0.01749,0.89391,-0.32217,-0.09924,-0.06612,0.07047,-0.14512,0.22451,-0.31322,0.10551,0.33025,-0.05418,0.46552,0.00567,-0.01285,-0.1653,-0.08343,0.11729,-0.20494,0.1097,0.08141,-0.06329,0.14283,-0.04069,0.14137,-0.19368,-0.5753,0.24909,0.02212,0.01428,-0.1311,0.06956,0.14048,0.1104,-0.1475,0.1866,0.05596,0.15007,-0.18526,-0.04222,0.02861,0.00257,0.2101,0.09965,0.07303,0.14353,0.0104,-0.13655,-0.0477,0.07637,-0.14811,-0.11954,-0.03198,0.07741,0.08537,-0.09101,0.03494,-0.22948,-0.03652,-0.00886,-0.00367,0.09507,-0.06101
SIDM00495,1.62876,-1.46288,2.81966,1.25431,-3.13743,0.13829,-0.56127,-0.569,0.2643,-2.52601,-0.11296,0.31047,1.33835,0.01526,0.12791,-0.18055,-0.1474,0.55722,0.31531,-1.8873,0.17358,-0.48021,-0.0823,-0.11631,-0.25807,0.12643,0.19318,-2.57035,0.21951,0.3981,0.34531,-0.88774,0.05286,-0.08078,0.52789,0.5946,0.30435,-0.1623,-0.96962,2.2218,0.02867,0.14912,0.04572,0.03744,-0.45254,0.08068,0.03339,0.42352,0.4291,0.00542,-0.05256,-0.20574,0.00298,-0.02969,0.40931,-0.3217,0.63874,-0.04789,-0.23734,-0.34622,-0.18918,-0.13666,-0.03174,0.36394,0.85649,0.05396,-0.10521,-0.18337,0.18363,-0.21991,0.35543,-0.23934,-0.4344,-0.27594,-0.31416,0.2817,-0.01409,0.44954,0.05757,-0.37526,-0.05131,0.37955,0.17534,-0.15679,-0.02141,0.08343,-0.53516,-0.01721,0.1454,0.10067,-0.13791,-0.32634,-0.14669,0.04969,0.16955,-0.2121,-0.13586,-0.13963,0.00452,0.10032
